Event,Track,Material,StepLength(mm),Edep(MeV),PreE(MeV),PostE(MeV),PreZ(mm),PostZ(mm),Transmission
1,5,G4_AIR,0.354738,0.00321609,0.00321609,0,961.136,961.192,0
1,4,G4_AIR,9.87708,0.00451087,0.0447749,0.040264,1084.26,1085.25,1
1,4,G4_AIR,8.41634,0.00441638,0.040264,0.0358477,1085.25,1083.99,1
1,4,G4_AIR,1.57894,0.00123244,0.0358477,0.0328536,1083.99,1084.55,1
1,4,G4_AIR,2.38156,0.00128622,0.0328536,0.0302326,1084.55,1084.73,1
1,4,G4_AIR,5.61407,0.00406838,0.0302326,0.0261642,1084.73,1084.03,1
1,4,G4_AIR,4.65924,0.00276784,0.0261642,0.0233964,1084.03,1085.01,1
1,4,G4_AIR,1.24528,0.000843559,0.0233964,0.0212652,1085.01,1085.25,1
1,4,G4_AIR,3.65121,0.00358406,0.0212652,0.0176811,1085.25,1084.69,1
1,4,G4_AIR,3.00984,0.00219112,0.0176811,0.01549,1084.69,1084.68,1
1,4,G4_AIR,2.11344,0.00166345,0.01549,0.0116571,1084.68,1084.23,1
1,4,G4_AIR,2.07982,0.00635159,0.0116571,0.00530547,1084.23,1084.31,1
1,4,G4_AIR,0.850942,0.00530547,0.00530547,0,1084.31,1084.63,0
1,36,G4_AIR,0.184249,0.00216948,0.00216948,0,1084.23,1084.25,0
1,35,G4_AIR,0.0824108,0.00128762,0.00128762,0,1085.25,1085.27,0
1,34,G4_AIR,0.0869524,0.00133482,0.00133482,0,1084.73,1084.75,0
1,33,G4_AIR,0.132635,0.0017616,0.0017616,0,1084.55,1084.56,0
1,3,G4_AIR,0.132165,0.00175757,0.00175757,0,1230.85,1230.87,0
1,2,G4_AIR,0.167032,0.00204024,0.00204024,0,1305.21,1305.17,0
2,1,G4_AIR,25.8731,0.00275434,1623.33,1623.33,1500,1485.02,1
2,1,G4_AIR,335.143,0.059025,1623.33,1623.27,1485.02,1291.02,1
2,1,G4_AIR,16.6118,0.00151431,1623.27,1623.27,1291.02,1281.4,1
2,1,G4_AIR,60.8901,0.00931644,1623.27,1623.25,1281.4,1246.14,1
2,1,G4_AIR,50.2193,0.0086954,1623.25,1623.24,1246.14,1217.06,1
2,1,G4_AIR,12.1983,0.00286483,1623.24,1623.24,1217.06,1210,1
2,1,G4_AIR,79.8403,0.0128011,1623.24,1623.22,1210,1163.78,1
2,1,G4_AIR,41.4976,0.00702404,1623.22,1623.21,1163.78,1139.76,1
2,1,G4_AIR,14.7453,0.00163413,1623.21,1623.2,1139.76,1131.22,1
2,1,G4_AIR,209.373,0.0328835,1623.2,1623.17,1131.22,1010.03,1
2,1,G4_AIR,61.9794,0.00847266,1623.17,1623.16,1010.03,974.154,1
2,1,G4_AIR,235.54,0.0354009,1623.16,1623.12,974.154,837.843,1
2,1,G4_AIR,52.2854,0.00837387,1623.12,1623.11,837.843,807.596,1
2,1,G4_AIR,198.883,0.0239457,1623.11,1623.08,807.596,692.534,1
